0,3.65904,3.674011,3.689024,3.707017,3.727005,3.752004,3.779008,3.812,3.843005,3.866019,3.889013,3.910014,3.930018,3.952017,3.97401,3.998008,4.025,3.739039,3.754009,3.770031,3.78702,3.806018,3.827003,3.851002,3.875034,3.900008,3.926001,3.951,3.97402,3.997036,4.019027,4.042029,4.066015,4.09201
2,3.64582,3.660874,3.675682,3.693514,3.713542,3.73862,3.765542,3.798616,3.829908,3.852965,3.876039,3.897,3.916798,3.938879,3.960911,3.984789,4.011655,3.674611,3.68897,3.705442,3.722636,3.741837,3.762779,3.786945,3.811179,3.836192,3.862065,3.886817,3.909676,3.932202,3.953662,3.976092,3.999793,4.025503
4,3.645209,3.660178,3.674986,3.692819,3.712726,3.737928,3.764726,3.797839,3.829295,3.85235,3.875426,3.896426,3.91639,3.938306,3.9603,3.983974,4.011083,3.671551,3.68599,3.702586,3.719943,3.739184,3.760126,3.784253,3.808609,3.833579,3.859537,3.884081,3.906817,3.929182,3.950562,3.972787,3.996243,4.021952
6,3.644803,3.659686,3.674494,3.692168,3.712113,3.737319,3.764113,3.79731,3.828847,3.851943,3.875018,3.895857,3.915903,3.937857,3.959895,3.983566,4.010555,3.669306,3.683827,3.700544,3.717986,3.737349,3.758248,3.782459,3.806771,3.831864,3.857699,3.882165,3.904778,3.927102,3.948196,3.970299,3.993671,4.019134
8,3.644395,3.659276,3.674045,3.691843,3.711705,3.73679,3.76358,3.796859,3.828478,3.851619,3.874607,3.895614,3.915375,3.937531,3.959486,3.983198,4.010066,3.667387,3.682076,3.698791,3.716191,3.735595,3.756696,3.78091,3.805262,3.830317,3.856189,3.880698,3.903146,3.925305,3.946361,3.968465,3.991712,4.01701
10,3.644068,3.658909,3.673636,3.691519,3.711296,3.736464,3.76313,3.796453,3.828154,3.851333,3.874361,3.895249,3.915087,3.937246,3.959201,3.982953,4.00986,3.665756,3.680401,3.697362,3.714843,3.734329,3.755306,3.779643,3.803956,3.829092,3.854965,3.879272,3.901678,3.923753,3.944852,3.96671,3.989959,4.015215
12,3.643783,3.658666,3.67335,3.69111,3.710928,3.735974,3.762884,3.796207,3.82787,3.850926,3.874117,3.895001,3.914761,3.936962,3.958915,3.982627,4.009452,3.664328,3.679015,3.695933,3.713659,3.733021,3.754163,3.778257,3.802855,3.828027,3.853902,3.878251,3.900496,3.922447,3.943423,3.965201,3.988367,4.013543
14,3.643498,3.658459,3.672984,3.690742,3.710603,3.735564,3.762434,3.795801,3.827666,3.850724,3.873873,3.894798,3.914556,3.93672,3.958669,3.982344,4.009248,3.663062,3.677749,3.69471,3.712273,3.731834,3.753101,3.777441,3.801918,3.827008,3.852882,3.877231,3.899354,3.921263,3.942157,3.963813,3.986977,4.012155
16,3.643173,3.658132,3.672739,3.690454,3.710275,3.73532,3.762108,3.795598,3.827257,3.850519,3.873628,3.894593,3.914355,3.936433,3.958465,3.982141,4.00888,3.661878,3.676484,3.693486,3.711251,3.730896,3.751957,3.776422,3.8009,3.826151,3.851984,3.876212,3.898374,3.920285,3.940893,3.962671,3.985632,4.010809
18,3.643048,3.657844,3.672535,3.690088,3.709989,3.734953,3.76174,3.795275,3.827054,3.850313,3.873466,3.894389,3.914152,3.93631,3.95814,3.981899,4.008635,3.660695,3.675383,3.692467,3.710231,3.729877,3.751097,3.775442,3.800086,3.825377,3.85121,3.875395,3.897475,3.919223,3.939872,3.961489,3.98449,4.009504
