0,3.659004,3.674025,3.689011,3.707003,3.727006,3.752036,3.779018,3.812008,3.843037,3.866035,3.889039,3.910014,3.930022,3.952008,3.974005,3.99804,4.025024,3.739019,3.754031,3.77,3.787024,3.806031,3.827007,3.851001,3.875031,3.900011,3.926035,3.951015,3.974005,3.99703,4.019022,4.042015,4.066006,4.092027
2,3.645929,3.660906,3.675687,3.693681,3.713603,3.738713,3.765532,3.798523,3.829877,3.853001,3.875881,3.896814,3.916944,3.93889,3.960848,3.984679,4.011498,3.674527,3.68913,3.705343,3.722614,3.741659,3.762717,3.786915,3.811147,3.83617,3.862028,3.886641,3.909267,3.931923,3.953309,3.975851,3.999636,4.025292
4,3.645276,3.660177,3.674913,3.692906,3.712872,3.737979,3.7648,3.79779,3.829344,3.852389,3.875391,3.896203,3.916211,3.9384,3.960238,3.984067,4.010765,3.671387,3.686277,3.702531,3.719885,3.739011,3.760068,3.784388,3.808621,3.833646,3.859421,3.883995,3.906376,3.928868,3.95013,3.972509,3.996173,4.021707
6,3.644827,3.659729,3.674382,3.692295,3.712343,3.737409,3.76419,3.797383,3.828853,3.85198,3.874942,3.895795,3.915803,3.937787,3.95983,3.983659,4.010354,3.669227,3.684077,3.700415,3.717972,3.737137,3.758152,3.782472,3.806788,3.831854,3.857626,3.881958,3.904462,3.926749,3.947769,3.970063,3.993564,4.019099
8,3.644457,3.659321,3.673972,3.69189,3.711854,3.736879,3.763739,3.796893,3.828445,3.851572,3.874577,3.895387,3.915517,3.937583,3.959419,3.983251,4.009947,3.667352,3.682324,3.698703,3.716302,3.735505,3.756603,3.780924,3.805279,3.830388,3.856198,3.880371,3.902627,3.924875,3.945896,3.968028,3.991488,4.016941
10,3.644049,3.658911,3.673568,3.691523,3.711447,3.736473,3.763333,3.796567,3.82816,3.851369,3.874333,3.895184,3.915193,3.937176,3.959053,3.982843,4.009659,3.665803,3.680692,3.697156,3.714918,3.734162,3.755341,3.779781,3.803974,3.829206,3.854936,3.87915,3.901364,3.923449,3.94439,3.966359,3.989735,4.015147
12,3.643844,3.658585,3.673162,3.691077,3.71104,3.736065,3.762926,3.796159,3.827752,3.850961,3.874008,3.894859,3.91499,3.93697,3.958806,3.98264,4.009335,3.664296,3.679387,3.695851,3.713575,3.732816,3.754156,3.778517,3.802835,3.828105,3.853837,3.877969,3.90002,3.922065,3.942964,3.964893,3.988144,4.013396
14,3.643476,3.6583,3.672956,3.690874,3.710675,3.735741,3.76256,3.795953,3.827547,3.850758,3.873763,3.894693,3.914746,3.936764,3.958563,3.982313,4.00909,3.663033,3.677962,3.69459,3.712436,3.731715,3.753057,3.777418,3.801815,3.827086,3.852777,3.87687,3.899001,3.920885,3.941621,3.963466,3.986719,4.01201
16,3.643228,3.658096,3.672713,3.690467,3.710431,3.735454,3.762194,3.795546,3.827344,3.850554,3.87356,3.894362,3.914498,3.936478,3.95828,3.982027,4.008723,3.661731,3.67682,3.693408,3.711336,3.730696,3.752038,3.776519,3.800917,3.826232,3.851882,3.875934,3.897983,3.919866,3.940522,3.962239,3.985456,4.010625
18,3.643022,3.657852,3.672346,3.690181,3.710106,3.735045,3.761948,3.795342,3.82714,3.85031,3.873235,3.894203,3.914171,3.936154,3.957993,3.981823,4.00852,3.660675,3.67568,3.69239,3.710318,3.729718,3.751102,3.775542,3.800104,3.825414,3.850982,3.875036,3.897044,3.918723,3.939423,3.961097,3.984273,4.009404
20,3.642821,3.657607,3.672143,3.689895,3.709823,3.734842,3.761542,3.795099,3.826812,3.850107,3.873152,3.893959,3.91401,3.935989,3.957789,3.981621,4.008316,3.659616,3.67454,3.691368,3.709341,3.728863,3.750285,3.774727,3.799288,3.824601,3.850167,3.87422,3.896108,3.917784,3.938404,3.960037,3.98309,4.008305
22,3.642575,3.657322,3.67194,3.68969,3.709619,3.734474,3.76134,3.794732,3.826731,3.849779,3.872948,3.893919,3.913765,3.935746,3.957584,3.98142,4.008109,3.658559,3.673643,3.690348,3.708485,3.728051,3.749469,3.773993,3.798556,3.823827,3.849554,3.873445,3.895253,3.916968,3.937467,3.95914,3.982072,4.007081
24,3.642334,3.657078,3.671614,3.689446,3.709416,3.734233,3.761097,3.794529,3.826527,3.849738,3.872744,3.893674,3.913602,3.935543,3.957381,3.981216,4.007907,3.657746,3.672663,3.689491,3.707546,3.727073,3.748655,3.773259,3.797824,3.823214,3.8489,3.872793,3.894599,3.91599,3.936649,3.95816,3.981053,4.006145
26,3.642131,3.656877,3.67141,3.68924,3.70905,3.73403,3.760731,3.794325,3.826324,3.849534,3.872538,3.89355,3.913439,3.935341,3.95722,3.981016,4.007705,3.65677,3.671727,3.688715,3.706771,3.726381,3.748042,3.772481,3.797129,3.822604,3.848332,3.872184,3.893988,3.915381,3.935755,3.957266,3.980156,4.00525
28,3.642008,3.656673,3.671123,3.689039,3.708806,3.733748,3.760527,3.794121,3.826202,3.849329,3.872375,3.893223,3.913354,3.935136,3.957098,3.980813,4.007499,3.655996,3.67087,3.687654,3.705997,3.725608,3.747228,3.77187,3.796518,3.821995,3.847597,3.871569,3.893173,3.914608,3.934941,3.956408,3.979342,4.004231
30,3.641804,3.656553,3.671,3.688834,3.708603,3.733466,3.760326,3.793919,3.825954,3.849123,3.872334,3.893141,3.91315,3.934936,3.956938,3.980612,4.007292,3.6551,3.670056,3.68692,3.705222,3.724997,3.746535,3.771259,3.795989,3.821382,3.847109,3.87096,3.892565,3.913956,3.934165,3.955715,3.978526,4.003455
32,3.6416,3.656388,3.670796,3.68863,3.708399,3.733222,3.760121,3.793716,3.825872,3.849123,3.872128,3.892937,3.912945,3.934855,3.956775,3.98041,4.007087,3.654368,3.669239,3.686229,3.704447,3.724224,3.745843,3.770648,3.795419,3.820852,3.84658,3.870347,3.891994,3.913344,3.933512,3.954899,3.977587,4.002599
34,3.641396,3.656263,3.670632,3.688425,3.708194,3.733021,3.759916,3.793558,3.825711,3.848921,3.872007,3.892778,3.91274,3.934736,3.956573,3.980205,4.006884,3.653677,3.668344,3.685453,3.703795,3.723572,3.745395,3.770118,3.79489,3.820362,3.84609,3.869937,3.891505,3.912734,3.932901,3.954126,3.976938,4.001828
36,3.641398,3.656059,3.670509,3.688221,3.70799,3.732818,3.75967,3.793515,3.825509,3.848798,3.871926,3.892737,3.912619,3.934533,3.956372,3.980002,4.006683,3.653066,3.667732,3.684637,3.703183,3.722961,3.744785,3.769631,3.794322,3.819954,3.845686,3.869323,3.890935,3.912118,3.932208,3.953514,3.976327,4.001096
38,3.641198,3.655853,3.670305,3.687894,3.707786,3.732614,3.759508,3.793312,3.825506,3.848715,3.871762,3.892537,3.912537,3.934411,3.956333,3.980002,4.006561,3.652375,3.667119,3.684025,3.70245,3.722351,3.744216,3.76902,3.793875,3.819505,3.845239,3.868916,3.890488,3.911628,3.931678,3.952861,3.975551,4.000359
40,3.640995,3.655692,3.670101,3.687811,3.707581,3.732411,3.759303,3.793112,3.825302,3.848633,3.871721,3.892535,3.912332,3.93433,3.95617,3.9798,4.00644,3.651683,3.666511,3.68329,3.701838,3.72174,3.743768,3.768614,3.793468,3.819019,3.844667,3.868508,3.889919,3.911098,3.931066,3.952331,3.9749,3.999746
42,3.640996,3.65553,3.670057,3.687606,3.707378,3.732207,3.759018,3.79295,3.825095,3.848509,3.87152,3.892329,3.912331,3.934128,3.955968,3.979678,4.006277,3.651154,3.665901,3.68264,3.701144,3.721295,3.743158,3.768084,3.793059,3.81853,3.844257,3.868101,3.889511,3.910691,3.930619,3.951638,3.974288,3.999137
44,3.640793,3.655447,3.669896,3.687404,3.707176,3.732005,3.758896,3.79291,3.825094,3.848346,3.871439,3.89233,3.912128,3.93409,3.955968,3.979597,4.006073,3.650623,3.665166,3.682025,3.700533,3.720683,3.742668,3.767595,3.792529,3.818122,3.843973,3.867693,3.889106,3.910078,3.930049,3.951068,3.973678,3.998526
46,3.640714,3.655242,3.669691,3.687364,3.706973,3.731801,3.758694,3.792707,3.824891,3.848304,3.871318,3.892129,3.912129,3.933928,3.955763,3.979394,4.006071,3.650054,3.664636,3.681374,3.699923,3.720113,3.74214,3.76719,3.792122,3.817836,3.843566,3.867286,3.888699,3.909509,3.929559,3.95062,3.973106,3.997916
